"","AG","BD","GD","SD","SU","RD","AB","SO","CC","LV","CN","FS","EC","ES","AD","AN","AT","GE","CH","GN","ER","PH","PO","TK","PA","MR","AY","MB","AI","LU","WT","EN"
"CN",0.972273375900731,0.955519223047428,0.997084436381199,0.996490850387818,0.996733699253447,0.989582899366103,0.977912619945417,0.994992996287882,0.991672944373322,0.958527263830824,1,0.994315807755769,0.995846804007914,0.997907425187488,0.998244971694388,0.988739810497461,0.994338083376345,0.980322925852685,0.983373029646659,0.979655471774058,0.980073962580248,0.987892742598025,0.939819827663058,0.99701600820984,0.994891774146045,0.993974282774535,0.999608022218433,0.963659068122253,0.998487215934885,0.994244405346843,0.641449332031662,0.997986324637724
"FS",0.991211620276081,0.980939598666708,0.998807506743486,0.99876862380221,0.999151807431529,0.968846842293007,0.956251793412669,0.998957134447044,0.999237802555254,0.936510910220997,0.994315807755769,1,0.993240030673511,0.996114353452456,0.987027187453101,0.973514349628476,0.978163824446194,0.957067105641462,0.965204986128942,0.959925812364715,0.961502146327172,0.976436766833931,0.915055953947407,0.988394350237014,0.97880107347971,0.979587437414085,0.992961473885444,0.940146747148272,0.987397966768512,0.99978411985923,0.640539730932658,0.998738590533002
"EC",0.971091230561156,0.955245843741901,0.993183017214373,0.991242714130584,0.992397164978756,0.982607871142525,0.957900825413114,0.996449537740092,0.988125051875881,0.966408837591596,0.995846804007914,0.993240030673511,1,0.999137101896678,0.994555162073904,0.991597246149118,0.989597364295865,0.980516662484221,0.985899030063696,0.984752903078471,0.981186006835059,0.994749092912904,0.946337142217202,0.992773010096883,0.99002177845467,0.992216843504786,0.992972152005312,0.971488343323067,0.994007132202249,0.99315598218184,0.691117060339669,0.997245847976749
"ES",0.976366915150814,0.961638486356491,0.996962917639048,0.995141478676872,0.996009635260906,0.98340495948762,0.964595082934735,0.997478740868645,0.992459489219318,0.963022373663986,0.997907425187488,0.996114353452456,0.999137101896678,1,0.995703251408453,0.989757854959414,0.989401721469771,0.977056419255234,0.981418063498579,0.98036174230197,0.976383346529302,0.991181057583559,0.936113345934028,0.992994713573281,0.990388031906679,0.990756847727402,0.995780720765565,0.963791443887746,0.994894174662256,0.995624580961205,0.679869287057592,0.999019171491817
"AD",0.957556390775791,0.93776728479087,0.991675795198545,0.989920151296225,0.990385890305223,0.99588422186295,0.981927738644381,0.988902482665118,0.98276582918468,0.971683209598626,0.998244971694388,0.987027187453101,0.994555162073904,0.995703251408453,1,0.994960110560768,0.997821486192487,0.989242620588816,0.989137440554339,0.988319730913798,0.984942992734555,0.992367507622565,0.94794178948159,0.995679231731749,0.99874185973575,0.996924702195241,0.997638771628669,0.973904106030672,0.999398462265376,0.986682315069999,0.660605933086107,0.993486127273089
"AN",0.935627338440883,0.913292562373187,0.978453714972706,0.974145536862959,0.975555456405374,0.993674893775581,0.968057561507335,0.978347033697481,0.965684172453458,0.989244941557545,0.988739810497461,0.973514349628476,0.991597246149118,0.989757854959414,0.994960110560768,1,0.993576341856536,0.994846399735189,0.992362297310356,0.997413505991091,0.985740839853243,0.997963451825482,0.955561362676061,0.985949791572783,0.995054695986377,0.994068034344735,0.986042123512679,0.986135092754997,0.992531330102554,0.972664350564604,0.719614677030122,0.983329239472949
"AT",0.943072100166428,0.919720782684171,0.983341866525118,0.982664922340717,0.982923780716941,0.99778682128566,0.982322331971307,0.982055439880278,0.972795882091859,0.969052255181593,0.994338083376345,0.978163824446194,0.989597364295865,0.989401721469771,0.997821486192487,0.993576341856536,1,0.994507676192112,0.994662383612085,0.99099897397058,0.992708727699753,0.991314006353827,0.963797963598428,0.996422582321919,0.999646373250457,0.999269338888617,0.994364654572704,0.982064115887367,0.99867513684927,0.978844027737327,0.636514413015172,0.986946187910139
"GE",0.910553428720116,0.882732635648132,0.963293480966856,0.96067895337641,0.961671655379995,0.994716950163443,0.968615846933323,0.96456989105499,0.947868131437626,0.982109584654432,0.980322925852685,0.957067105641462,0.980516662484221,0.977056419255234,0.989242620588816,0.994846399735189,0.994507676192112,1,0.997351218059676,0.998078489838616,0.994159297752261,0.992618267665004,0.9753974512282,0.984386599890456,0.99416242034477,0.994788587379119,0.978887867741965,0.99458916196987,0.98899823312989,0.957701059527554,0.676593478206684,0.970405577991
"CH",0.924277996070596,0.898254916478684,0.968132106035278,0.967156386494552,0.968124117662234,0.990032937838667,0.960030973487129,0.973660876818567,0.956233239721204,0.971880081372169,0.983373029646659,0.965204986128942,0.985899030063696,0.981418063498579,0.989137440554339,0.992362297310356,0.994662383612085,0.997351218059676,1,0.996156395879445,0.998852395977358,0.99437568813229,0.983593027038121,0.990017761402146,0.992919318428334,0.997061113296504,0.981547679445814,0.99549262582097,0.990628439975555,0.966886220151968,0.660745123955148,0.976698339156655
"GN",0.915421035674663,0.889566563192134,0.964621496382541,0.960626234466127,0.962222881335541,0.990503755622259,0.958157575465505,0.967842489101013,0.949831925202671,0.988703124503972,0.979655471774058,0.959925812364715,0.984752903078471,0.98036174230197,0.988319730913798,0.997413505991091,0.99099897397058,0.998078489838616,0.996156395879445,1,0.99098365177491,0.996898844434251,0.97125492994369,0.981336417861656,0.991280074698753,0.992684540131158,0.97658355402485,0.995300233855879,0.986825558183825,0.959997498050823,0.716646845954193,0.972555596625765
